Entity;Type;Superclass(es);BiomarkerOf;Contains;
pudding;Class;'bakery product';;"''plant fruit food product''	'flour'	''white sugar''	''hen egg (whole)''	''cow milk (fluid)''";
margarine;Class;'vegetable fat food product';;;
'pumpkin (whole, raw)';Class;'Dark yellow vegetables';;;
'apricot (whole, raw)';Class;'stone fruit food product';;;
'grapefruit (whole, raw)';Class;'citrus fruit food product';;;
'onion (whole, raw)';Class;'Onion family vegetables';;;
vinegar;Class;'flavouring additive';;;
'broccoli floret (whole, raw)';Class;'cruciferous food product';;;
'spinach (whole, raw)';Class;'leafy vegetable';;;
'peach (whole, raw)';Class;'stone fruit food product';;;
'strawberry (whole, raw)';Class;'berry (whole, raw)';;;
'pear (whole, raw)';Class;'pomaceous fruit food product';;;
'celery stalk (raw)';Class;'leafy vegetable';;;
cheesecake;Class;'bakery product';;"''cheese food product''	''biscuit (hard) food product''	''hen egg (whole)''	''white sugar''	'flour'";
'artichoke (whole, raw)';Class;'stem or spear vegetable';;;
'mango (whole, raw)';Class;'tropical fruit (whole, raw)';;;
'olive oil';Class;'vegetable oil';;;
'papaya (whole, raw)';Class;'tropical fruit (whole, raw)';;;
'pineapple (whole, raw)';Class;'tropical fruit (whole, raw)';;;
'potato chip';Class;'potato (whole, raw)';;;
'cream cheese';Class;'cheese food product';;;
sandwich;Class;'sandwich food product';;"''meat food product''	''vegetable food product''	''bread food product''";
'beverage food product';Class;Foods;;;
'blueberry (whole, raw)';Class;'berry (whole, raw)';;;
ale;Class;beer;;;
'cow milk (fluid)';Class;'Unfermented milk products';;;
'garlic bread';Class;'Other prepared foods';;"''bread food product''	''garlic (whole, raw)''";
'cheddar cheese';Class;'cheese food product';;;
'chicory (whole, raw)';Class;'leafy vegetable';;;
'cauliflower (whole, raw)';Class;'cruciferous food product';;;
whiskey;Class;'beverage (alcoholic, distilled)';;;
'soybean oil';Class;'vegetable oil';;;
'ricotta cheese';Class;'cheese food product';;;
'coconut (whole, raw)';Class;'tropical fruit (whole, raw)';;;
couscous;Class;'grain product';;;
'wine (food product)';Class;'Fermented alcohols';;;
spice;Class;'spice or herb';;;
'hot sauce';Class;sauce;;;
'ravioli pasta';Class;pasta;;;
'green tea leaf (dry)';Class;'tea based beverage product';;;
'black tea leaf (dry)';Class;'tea based beverage product';;;
'radish (whole, raw)';Class;'cruciferous food product';;;
'coleslaw (food product)';Class;'Vegetarian dishes';;"''cabbage (whole, raw)''	''carrot root (whole, raw)''";
'kale leaf (raw)';Class;'cruciferous food product';;;
'garlic (whole, raw)';Class;herb;;;
'avocado (whole, raw)';Class;'Fat vegetables';;;
'tropical fruit (whole, raw)';Class;'plant fruit food product';;;
'vegetable oil';Class;oil;;;
'guava (whole, raw)';Class;'tropical fruit (whole, raw)';;;
'chocolate cake';Class;'bakery product';;"'chocolate'	'butter'	'flour'";
vodka;Class;'beverage (alcoholic, distilled)';;;
'fruit (dried)';Class;'plant fruit food product';;;
toast;Class;'grain product';;;
pasta;Class;'grain product';;;
'cow whole milk (pasteurized)';Class;'cow milk (fluid)';;;
'nut (whole or part)';Class;'Nuts and legumes';;;
'chickpea (whole)';Class;'pea (whole)';;;
'peanut butter';Class;'peanut (whole, raw)';;;
'berry (whole, raw)';Class;'plant fruit food product';;;
noodle;Class;pasta;;;
'raspberry (whole, raw)';Class;'berry (whole, raw)';;;
quiche;Class;'Non vegetarian dishes';;"''black pepper food product''	''cheese food product''	''nut (whole or part)''	''cow milk (fluid)''	'flour'	''bacon food product''	''hen egg (whole)''	''meat food product''";
chocolate;Class;'cacao food product';;;
'mineral water (carbonated)';Class;'water food product';;;
'cow milk (semi-skimmed)';Class;'cow milk (fluid)';;;
'turnip (whole, raw)';Class;'Dark yellow vegetables';;;
taco;Class;'Non vegetarian dishes';;"''meat food product''	''vegetable food product''	'flour'";
'egg salad sandwich';Class;'sandwich food product';;"''vegetable food product''	''hen egg (whole)''	''bread food product''";
broth;Class;'soup food product';;"''vegetable food product''	''meat food product''";
gin;Class;'beverage (alcoholic, distilled)';;;
'eggplant (whole, raw)';Class;'Fruity vegetables';;;
'orange (whole, raw)';Class;'citrus fruit food product';;;
'whole oats (raw)';Class;'Whole grain cereal products';;;
'rhubarb stalk (whole, raw)';Class;'leafy vegetable';;;
'tomato (whole, raw)';Class;'Fruity vegetables';;;
'table salt';Class;'flavouring additive';;;
'rice cake (food product)';Class;'rice grain food product';;;
'quinoa seed (dried)';Class;'Whole grain cereal products';;;
'palm oil';Class;'vegetable oil';;;
'red wine';Class;'wine (food product)';;;
'white wine';Class;'wine (food product)';;;
kefir;Class;'milk product (fermented)';;;
butter;Class;'Unfermented milk products';;;
'sunflower seed oil';Class;'vegetable oil';;;
oil;Class;'lipid food product';;;
'soft drink (dietetic)';Class;'beverage food product';;;
'bakery product';Class;'multi-component food';;;
'lentil (whole)';Class;'pulse food product';;;
'falafel (whole, cooked)';Class;'Vegetarian dishes';;"''garlic (whole, raw)''	''legume food product''	''vegetable oil''";
'pizza food product';Class;'Non vegetarian dishes';;"''meat food product''	''cheese food product''	'flour'	''vegetable food product''";
'soft drink';Class;'beverage food product';;;
gravy;Class;'Non vegetarian dishes';;"''vegetable food product''	''meat food product''";
'rocket (raw)';Class;'cruciferous food product';;;
'zucchini squash (whole)';Class;'Fruity vegetables';;;
'grain product';Class;'cereal food product';;;
sauce;Class;'multi-component food';;;
'asparagus (whole, raw)';Class;'stem or spear vegetable';;;
'banana (whole, ripe)';Class;'tropical fruit (whole, raw)';;;
porridge;Class;'Other prepared foods';;"''whole oats (raw)''	''cow milk (fluid)''";
'black currant (whole, raw)';Class;'berry (whole, raw)';;;
'beef steak (raw)';Class;cattle;;;
'leek (whole, raw)';Class;'Onion family vegetables';;;
'cheese sandwich';Class;'sandwich food product';;"''vegetable food product''	''cheese food product''	''bread food product''";
salami;Class;swine;;;
'tea food product';Class;'tea based beverage product';;;
'olive (whole, ripe)';Class;'Fat vegetables';;;
wheat;Class;'Whole grain cereal products';;;
pancake;Class;'bakery product';;"'butter'	''white sugar''	'flour'	''cow milk (fluid)''	''hen egg (whole)''";
'milk product (fermented)';Class;'milk or milk based food product';;;
'brown bread';Class;'Whole grain cereal products';;;
'sausage (formed)';Class;swine;;;
salad;Class;'Vegetarian dishes';;"''vegetable food product''	''lettuce vegetable food product''	''vegetable oil''";
'hen egg (whole)';Class;'hen egg food product';;;
'beverage (water-based, flavored, nonalcoholic)';Class;'water food product';;;
'food (ready-to-serve)';Class;'multi-component food';;;
'vegetable fat food product';Class;fat;;;
beetroot;Class;'Dark yellow vegetables';;;
'beverage (alcoholic, distilled)';Class;'plant based alcoholic beverage';;;
gnocchi;Class;'Vegetarian dishes';;"'flour'	''hen egg (whole)''	''cheese food product''	''potato (whole, raw)''";
polenta;Class;'field corn food product';;;
'stem or spear vegetable';Class;'vegetable food product';;;
mackerel;Class;'White fish';;;
swine;Class;'Red meat';;;
cattle;Class;'Red meat';;;
squid;Class;molluscs;;;
fish;Class;'meat food product';;;
'turkey (bird)';Class;'poultry meat food product';;;
shrimp;Class;crustacean;;;
trout;Class;bluefish;;;
tuna;Class;bluefish;;;
duck;Class;'poultry meat food product';;;
rabbit;Class;'Lean meat';;;
'grain plant';Class;Foods;;;
goat;Class;'Red meat';;;
crab;Class;crustacean;;;
crustacean;Class;'seafood product';;;
cod;Class;'White fish';;;
chicken;Class;'poultry meat food product';;;
'zucchini plant';Class;'Fruity vegetables';;;
bluefish;Class;fish;;;
octopus;Class;molluscs;;;
sardine;Class;bluefish;;;
'leafy vegetable';Class;'vegetable food product';;;
lamb;Class;'Red meat';;;
anchovy;Class;bluefish;;;
molluscs;Class;'seafood product';;;
boar;Class;'Red meat';;;
hake;Class;'White fish';;;
kiwi;Class;'citrus fruit food product';;;
sugar;Class;Foods;;;
'brown sugar';Class;'Baking goods';;;
'white sugar';Class;'Baking goods';;;
sirloin;Class;cattle;;;
curcuma;Class;spice;;;
honey;Class;Confectioneries;;;


Export of entity selection
