"Entity","Superclass(es)","ChemSpider","HMDB","KEGG","PubChemCID","InChIKey","InChICode","FOBI"
"hydroxytyrosol 4-sulfate","Phenylsulfates",NA,NA,NA,"71749405","VNPXBLBTQUFCHO-UHFFFAOYSA-N","InChI=1S/C8H10O6S/c9-4-3-6-1-2-8(7(10)5-6)14-15(11,12)13/h1-2,5,9-10H,3-4H2,(H,11,12,13)","FOBI:030586"
"homovanillyl alcohol","Methoxyphenols",NA,NA,NA,"16928","XHUBSJRBOQIZNI-UHFFFAOYSA-N","InChI=1S/C9H12O3/c1-12-9-6-7(4-5-10)2-3-8(9)11/h2-3,6,10-11H,4-5H2,1H3","FOBI:030587"
"homovanillyl alcohol glucuronide","Phenolic glycosides",NA,NA,NA,NA,"FPHRLHBSOJUFOE-DKBOKBLXSA-N","InChI=1S/C15H20O9/c1-22-9-6-7(4-5-16)2-3-8(9)23-15-12(19)10(17)11(18)13(24-15)14(20)21/h2-3,6,10-13,15-19H,4-5H2,1H3,(H,20,21)/t10-,11-,12+,13-,15+/m0/s1","FOBI:030588"
"homovanillyl alcohol sulfate","Phenylsulfates",NA,NA,NA,NA,"LWTDOJAWTHMBFG-UHFFFAOYSA-N","InChI=1S/C9H12O6S/c1-14-9-6-7(4-5-10)2-3-8(9)15-16(11,12)13/h2-3,6,10H,4-5H2,1H3,(H,11,12,13)","FOBI:030589"
"trans-resveratrol 3-glucuronide","Stilbene glycosides","4437760",NA,NA,"5273285","QWSAYEBSTMCFKY-OTPOQTMVSA-N","InChI=1S/C20H20O9/c21-12-5-3-10(4-6-12)1-2-11-7-13(22)9-14(8-11)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h1-9,15-18,20-25H,(H,26,27)/b2-1+/t15-,16-,17+,18-,20+/m0/s1","FOBI:030592"
"trans-resveratrol 4-glucuronide","Stilbene glycosides","4437759",NA,NA,"5273284","CDEBVTGYVFHDMA-OTPOQTMVSA-N","InChI=1S/C20H20O9/c21-12-7-11(8-13(22)9-12)2-1-10-3-5-14(6-4-10)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h1-9,15-18,20-25H,(H,26,27)/b2-1+/t15-,16-,17+,18-,20+/m0/s1","FOBI:030593"
"cis-resveratrol 3-glucuronide","Stilbene glycosides",NA,NA,NA,"29986850","QWSAYEBSTMCFKY-BMPGWQKJSA-N","InChI=1S/C20H20O9/c21-12-5-3-10(4-6-12)1-2-11-7-13(22)9-14(8-11)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h1-9,15-18,20-25H,(H,26,27)/b2-1-/t15-,16-,17+,18-,20+/m0/s1","FOBI:030594"
"cis-resveratrol 4-glucuronide","Stilbene glycosides",NA,NA,NA,"71752003","CDEBVTGYVFHDMA-BMPGWQKJSA-N","InChI=1S/C20H20O9/c21-12-7-11(8-13(22)9-12)2-1-10-3-5-14(6-4-10)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h1-9,15-18,20-25H,(H,26,27)/b2-1-/t15-,16-,17+,18-,20+/m0/s1","FOBI:030595"
"trans-resveratrol 4-sulfate","Stilbenes",NA,NA,NA,"29986833","KOTTWDFKZULRPN-OWOJBTEDSA-N","InChI=1S/C14H12O6S/c15-12-7-11(8-13(16)9-12)2-1-10-3-5-14(6-4-10)20-21(17,18)19/h1-9,15-16H,(H,17,18,19)/b2-1+","FOBI:030597"
"cis-resveratrol 3-sulfate","Stilbenes",NA,NA,NA,"129848988","DULQFFCIVGYOFH-UPHRSURJSA-N","InChI=1S/C14H12O6S/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(8-11)20-21(17,18)19/h1-9,15-16H,(H,17,18,19)/b2-1-","FOBI:030598"
"cis-resveratrol 4-sulfate","Stilbenes",NA,NA,NA,"97107241","KOTTWDFKZULRPN-UPHRSURJSA-N","InChI=1S/C14H12O6S/c15-12-7-11(8-13(16)9-12)2-1-10-3-5-14(6-4-10)20-21(17,18)19/h1-9,15-16H,(H,17,18,19)/b2-1-","FOBI:030599"
"dihydroresveratrol 4-glucuronide","Stilbene glycosides",NA,NA,NA,NA,"MATKIWLWARSJPU-HBWRTXEVSA-N","InChI=1S/C20H22O9/c21-12-7-11(8-13(22)9-12)2-1-10-3-5-14(6-4-10)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h3-9,15-18,20-25H,1-2H2,(H,26,27)/t15-,16-,17+,18-,20+/m0/s1","FOBI:030602"
"dihydroresveratrol 4-sulfate","Stilbenes",NA,NA,NA,NA,"VPKVLRCNQRSXLW-UHFFFAOYSA-N","InChI=1S/C14H14O6S/c15-12-7-11(8-13(16)9-12)2-1-10-3-5-14(6-4-10)20-21(17,18)19/h3-9,15-16H,1-2H2,(H,17,18,19)","FOBI:030604"
"piceid 3-glucuronide","Stilbene glycosides",NA,NA,NA,NA,"SSZYARBRHYOZQM-OWOJBTEDSA-N","InChI=1S/C26H30O14/c27-10-16-17(29)18(30)21(33)25(39-16)37-14-7-12(2-1-11-3-5-13(28)6-4-11)8-15(9-14)38-26-22(34)19(31)20(32)23(40-26)24(35)36/h1-9,16-23,25-34H,10H2,(H,35,36)/b2-1+","FOBI:030606"
"piceid 4-glucuronide","Stilbene glycosides",NA,NA,NA,NA,"PHLZFRGLHZUWLW-OWOJBTEDSA-N","InChI=1S/C26H30O14/c27-10-16-17(29)18(30)21(33)25(39-16)38-15-8-12(7-13(28)9-15)2-1-11-3-5-14(6-4-11)37-26-22(34)19(31)20(32)23(40-26)24(35)36/h1-9,16-23,25-34H,10H2,(H,35,36)/b2-1+","FOBI:030607"
"piceid 3-sulfate","Stilbene glycosides",NA,NA,NA,NA,"WYPZTOJGOQAJJD-CUYWLFDKSA-N","InChI=1S/C20H22O11S/c21-10-16-17(23)18(24)19(25)20(30-16)29-14-7-12(8-15(9-14)31-32(26,27)28)2-1-11-3-5-13(22)6-4-11/h1-9,16-25H,10H2,(H,26,27,28)/b2-1+/t16-,17-,18+,19-,20-/m1/s1","FOBI:030608"
"piceid 4-sulfate","Stilbene glycosides",NA,NA,NA,NA,"OPXYKICHKIQGOV-CUYWLFDKSA-N","InChI=1S/C20H22O11S/c21-10-16-17(23)18(24)19(25)20(30-16)29-15-8-12(7-13(22)9-15)2-1-11-3-5-14(6-4-11)31-32(26,27)28/h1-9,16-25H,10H2,(H,26,27,28)/b2-1+/t16-,17-,18+,19-,20-/m1/s1","FOBI:030609"
"curcumin glucuronide","Curcuminoids",NA,NA,NA,"71315012","BNSAVBGHRVFVNN-XSCLDSQRSA-N","InChI=1S/C27H28O12/c1-36-20-11-14(5-9-18(20)30)3-7-16(28)13-17(29)8-4-15-6-10-19(21(12-15)37-2)38-27-24(33)22(31)23(32)25(39-27)26(34)35/h3-12,22-25,27,30-33H,13H2,1-2H3,(H,34,35)/b7-3+,8-4+/t22-,23-,24+,25-,27+/m0/s1","FOBI:030610"
"curcumin sulfate","Curcuminoids",NA,NA,NA,NA,"NEJVQQBBTRFOHB-FCXRPNKRSA-N","InChI=1S/C21H20O9S/c1-28-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(21(12-15)29-2)30-31(25,26)27/h3-12,24H,13H2,1-2H3,(H,25,26,27)/b7-3+,8-4+","FOBI:030611"
"enterolactone","Dibenzylbutyrolactone lignans",NA,"HMDB06101",NA,"123917","HVDGDHBAMCBBLR-UHFFFAOYSA-N","InChI=1S/C18H18O4/c19-15-5-1-3-12(8-15)7-14-11-22-18(21)17(14)10-13-4-2-6-16(20)9-13/h1-6,8-9,14,17,19-20H,7,10-11H2","FOBI:030612"
"enterolactone 3-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"YIGJPNKBAAZMPC-NBSJFAFNSA-N","InChI=1S/C24H26O10/c25-15-5-1-3-12(8-15)7-14-11-32-23(31)17(14)10-13-4-2-6-16(9-13)33-24-20(28)18(26)19(27)21(34-24)22(29)30/h1-6,8-9,14,17-21,24-28H,7,10-11H2,(H,29,30)/t14-,17+,18+,19+,20-,21+,24-/m1/s1","FOBI:030613"
"enterolactone 3-sulfate","Dibenzylbutyrolactone lignans",NA,NA,NA,NA,"CGSFDOCYHBJLFW-PBHICJAKSA-N","InChI=1S/C18H18O7S/c19-15-5-1-3-12(8-15)7-14-11-24-18(20)17(14)10-13-4-2-6-16(9-13)25-26(21,22)23/h1-6,8-9,14,17,19H,7,10-11H2,(H,21,22,23)/t14-,17+/m1/s1","FOBI:030614"
"isoxanthohumol","8-prenylated flavanones","447736",NA,NA,"513197","YKGCBLWILMDSAV-UHFFFAOYSA-N","InChI=1S/C21H22O5/c1-12(2)4-9-15-16(23)10-19(25-3)20-17(24)11-18(26-21(15)20)13-5-7-14(22)8-6-13/h4-8,10,18,22-23H,9,11H2,1-3H3","FOBI:030618"
"n-(2-hydroxyphenyl)acetamide","Acetanilides","14604154",NA,NA,"11972","ADVGKWPZRIDURE-UHFFFAOYSA-N","InChI=1S/C8H9NO2/c1-6(10)9-7-4-2-3-5-8(7)11/h2-5,11H,1H3,(H,9,10)","FOBI:030619"
"n-(2-hydroxyphenyl)acetamide glucuronide","Phenolic glycosides",NA,NA,NA,NA,"PRQFWBNVZNICDN-JUSQZNFGSA-N","InChI=1S/C13H15NO9/c15-7-8(16)10(11(18)19)23-12(9(7)17)22-6-4-2-1-3-5(6)14-13(20)21/h1-4,7-10,12,14-17H,(H,18,19)(H,20,21)/t7-,8?,9?,10-,12+/m0/s1","FOBI:030620"
"n-(2-hydroxyphenyl)acetamide sulfate","Phenylsulfates",NA,NA,NA,"181671","JCVGTUVGDOWZJE-UHFFFAOYSA-N","InChI=1S/C8H9NO5S/c1-6(10)9-7-4-2-3-5-8(7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H,11,12,13)","FOBI:030621"
"1-hydroxypyrene glucuronide","Pyrenes",NA,NA,NA,"59751652","BUCREAQPYGLZLI-SXFAUFNYSA-N","InChI=1S/C22H18O7/c23-17-18(24)20(21(26)27)29-22(19(17)25)28-14-9-7-12-5-4-10-2-1-3-11-6-8-13(14)16(12)15(10)11/h1-9,17-20,22-25H,(H,26,27)/t17-,18-,19+,20-,22+/m0/s1","FOBI:030622"
"acesulfame k","Organic sulfuric acids and derivatives","55940",NA,"D08836","11074431 | 23683747","WBZFUFAFFUEMEI-UHFFFAOYSA-M","InChI=1S/C4H5NO4S.K/c1-3-2-4(6)5-10(7,8)9-3;/h2H,1H3,(H,5,6);/q;+1/p-1","FOBI:030624"
"ethyl glucuronide","Glucuronides","19355701","HMDB10325",NA,"18392195","IWJBVMJWSPZNJH-UQGZVRACSA-N","InChI=1S/C8H14O7/c1-2-14-8-5(11)3(9)4(10)6(15-8)7(12)13/h3-6,8-11H,2H2,1H3,(H,12,13)/t3-,4-,5+,6-,8+/m0/s1","FOBI:030628"
"ethyl sulfate","Sulfuric acid monoesters","14206177",NA,NA,"57448826 | 6004","KIWBPDUYBMNFTB-UHFFFAOYSA-N","InChI=1S/C2H6O4S/c1-2-6-7(3,4)5/h2H2,1H3,(H,3,4,5)","FOBI:030629"
"cyanidin 3-glucoside","Anthocyanidin-3-O-glycosides",NA,NA,NA,"197081","YTMNONATNXDQJF-UBNZBFALSA-N","InChI=1S/C21H20O11.ClH/c22-7-16-17(27)18(28)19(29)21(32-16)31-15-6-10-12(25)4-9(23)5-14(10)30-20(15)8-1-2-11(24)13(26)3-8;/h1-6,16-19,21-22,27-29H,7H2,(H3-,23,24,25,26);1H/t16-,17-,18+,19-,21-;/m1./s1","FOBI:030633"
"peonidin 3-glucoside","Anthocyanidin-3-O-glycosides","391786",NA,"C12141","443654","ZZWPMFROUHHAKY-OUUKCGNVSA-O","InChI=1S/C22H22O11/c1-30-15-4-9(2-3-12(15)25)21-16(7-11-13(26)5-10(24)6-14(11)31-21)32-22-20(29)19(28)18(27)17(8-23)33-22/h2-7,17-20,22-23,27-29H,8H2,1H3,(H2-,24,25,26)/p+1/t17-,18-,19+,20-,22-/m1/s1","FOBI:030637"
"petunidin 3-glucoside","Anthocyanidin-3-O-glycosides",NA,NA,NA,"176449","HBKZHMZCXXQMOX-YATQZQGFSA-N","InChI=1S/C22H22O12.ClH/c1-31-14-3-8(2-12(26)17(14)27)21-15(6-10-11(25)4-9(24)5-13(10)32-21)33-22-20(30)19(29)18(28)16(7-23)34-22;/h2-6,16,18-20,22-23,28-30H,7H2,1H3,(H3-,24,25,26,27);1H/t16-,18-,19+,20-,22-;/m1./s1","FOBI:030638"
"sulforaphane","Sulfoxides",NA,"HMDB05792",NA,"5350","SUVMJBTUFCVSAD-UHFFFAOYSA-N","InChI=1S/C6H11NOS2/c1-10(8)5-3-2-4-7-6-9/h2-5H2,1H3","FOBI:030639"
"sulforaphane-cysteine","Cysteine and derivatives","8577881",NA,NA,"10402443","PUPMSTCTVNEOCX-ISJKBYAMSA-N","InChI=1S/C9H18N2O3S3/c1-17(14)5-3-2-4-11-9(15)16-6-7(10)8(12)13/h7H,2-6,10H2,1H3,(H,11,15)(H,12,13)/t7-,17?/m0/s1","FOBI:030640"
"sulforaphane-n-acetyl-cysteine","N-acyl-alpha amino acids and derivatives",NA,NA,NA,"71772353","IIHBKTCHILXGOT-KMYGYIBBSA-N","InChI=1S/C11H20N2O4S3/c1-8(14)13-9(10(15)16)7-19-11(18)12-5-3-4-6-20(2)17/h9H,3-7H2,1-2H3,(H,12,18)(H,13,14)(H,15,16)/t9-,20?/m0/s1","FOBI:030641"
"sulforaphane-cysteine-glycine","Oligopeptides",NA,NA,NA,NA,"XXNFGCPBPYXDGU-UHFFFAOYSA-N","InChI=1S/C11H21N3O4S3/c1-21(18)5-3-2-4-13-11(19)20-7-8(12)10(17)14-6-9(15)16/h8H,2-7,12H2,1H3,(H,13,19)(H,14,17)(H,15,16)","FOBI:030642"
"sulforaphane-glutathione","Oligopeptides",NA,NA,NA,"45040448","ROARKYNVUQLTDP-QGQIPBJJSA-N","InChI=1S/C16H28N4O7S3/c1-30(27)7-3-2-6-18-16(28)29-9-11(14(24)19-8-13(22)23)20-12(21)5-4-10(17)15(25)26/h10-11H,2-9,17H2,1H3,(H,18,28)(H,19,24)(H,20,21)(H,22,23)(H,25,26)/t10-,11-,30?/m0/s1","FOBI:030643"
"iberin","Sulfoxides",NA,"HMDB06095",NA,"10455","LELAOEBVZLPXAZ-UHFFFAOYSA-N","InChI=1S/C5H9NOS2/c1-9(7)4-2-3-6-5-8/h2-4H2,1H3","FOBI:030644"
"iberin-cysteine","Cysteine and derivatives",NA,NA,NA,NA,"TVMBFSAEYQAFEF-UHFFFAOYSA-N","InChI=1S/C8H16N2O3S3/c1-16(13)4-2-3-10-8(14)15-5-6(9)7(11)12/h6H,2-5,9H2,1H3,(H,10,14)(H,11,12)","FOBI:030645"
"iberin-n-acetyl-cysteine","N-acyl-alpha amino acids and derivatives",NA,NA,NA,NA,"RBVJIAJZFANPKT-UHFFFAOYSA-N","InChI=1S/C10H18N2O4S3/c1-7(13)12-8(9(14)15)6-18-10(17)11-4-3-5-19(2)16/h8H,3-6H2,1-2H3,(H,11,17)(H,12,13)(H,14,15)","FOBI:030646"
"iberin-cysteine-glycine","Oligopeptides",NA,NA,NA,NA,"DPNSNZWERSTHLI-UHFFFAOYSA-N","InChI=1S/C10H19N3O4S3/c1-20(17)4-2-3-12-10(18)19-6-7(11)9(16)13-5-8(14)15/h7H,2-6,11H2,1H3,(H,12,18)(H,13,16)(H,14,15)","FOBI:030647"
"iberin-glutathione","Oligopeptides",NA,NA,NA,NA,"VSDUBRGHFZYNJY-UHFFFAOYSA-N","InChI=1S/C15H26N4O7S3/c1-29(26)6-2-5-17-15(27)28-8-10(13(23)18-7-12(21)22)19-11(20)4-3-9(16)14(24)25/h9-10H,2-8,16H2,1H3,(H,17,27)(H,18,23)(H,19,20)(H,21,22)(H,24,25)","FOBI:030648"
"5-(hydroxymethyl-2-furoyl)glycine","N-acyl-alpha amino acids and derivatives","5020627",NA,NA,"6537488","HBULKUDERNWOBN-UHFFFAOYSA-N","InChI=1S/C8H9NO5/c10-4-5-1-2-6(14-5)8(13)9-3-7(11)12/h1-2,10H,3-4H2,(H,9,13)(H,11,12)","FOBI:030650"
"3-methyluric acid","Xanthines",NA,"HMDB01970",NA,"11804","ODCYDGXXCHTFIR-UHFFFAOYSA-N","InChI=1S/C6H6N4O3/c1-10-3-2(7-5(12)8-3)4(11)9-6(10)13/h1H3,(H2,7,8,12)(H,9,11,13)","FOBI:030660"
"7-methyluric acid","Xanthines","62375","HMDB11107","C16355","69160","YHNNPKUFPWLTOP-UHFFFAOYSA-N","InChI=1S/C6H6N4O3/c1-10-2-3(8-6(10)13)7-5(12)9-4(2)11/h1H3,(H3,7,8,9,11,12,13)","FOBI:030661"
"6-amino-5-(n-methylformylamino)-1-methyluracil","N-acetylarylamines","8096278",NA,NA,"9920643","XWCBQDPCEYHYRB-UHFFFAOYSA-N","InChI=1S/C7H10N4O3/c1-3(12)9-4-5(8)11(2)7(14)10-6(4)13/h8H2,1-2H3,(H,9,12)(H,10,13,14)","FOBI:030666"
"cyclo(l-leucyl-l-prolyl)","Alpha amino acids and derivatives","5428292",NA,NA,"7074739","SZJNCZMRZAUNQT-IUCAKERBSA-N","InChI=1S/C11H18N2O2/c1-7(2)6-8-11(15)13-5-3-4-9(13)10(14)12-8/h7-9H,3-6H2,1-2H3,(H,12,14)/t8-,9-/m0/s1","FOBI:030668"
"2-amino-1,6-dimethylimidazo[4,5-b]pyridine glucuronide","Glucuronides",NA,NA,NA,NA,"SQVPGYDPSLNFET-KSXIZUIISA-N","InChI=1S/C19H20N4O6/c1-23-11-7-10(9-5-3-2-4-6-9)8-20-16(11)21-19(23)22-17-14(26)12(24)13(25)15(29-17)18(27)28/h2-8,12-15,17,24-26H,1H3,(H,27,28)(H,20,21,22)/t12-,13-,14+,15-,17+/m0/s1","FOBI:030670"
"2-aminophenol glucuronide","Phenolic glycosides","76843",NA,NA,"85208","ZVFVTBSWJWONEI-GOVZDWNOSA-N","InChI=1S/C12H15NO7/c13-5-3-1-2-4-6(5)19-12-9(16)7(14)8(15)10(20-12)11(17)18/h1-4,7-10,12,14-16H,13H2,(H,17,18)/t7-,8-,9+,10-,12+/m0/s1","FOBI:030672"
"2-aminophenol sulfate","Phenylsulfates",NA,NA,NA,"181670","VSTZVCJQGSLNLL-UHFFFAOYSA-N","InChI=1S/C6H7NO4S/c7-5-3-1-2-4-6(5)11-12(8,9)10/h1-4H,7H2,(H,8,9,10)","FOBI:030673"
"vanilloylglycine","Hippuric acids","2340857",NA,NA,"3083688","LOODYTDRRBLQNH-UHFFFAOYSA-N","InChI=1S/C10H11NO5/c1-16-8-4-6(2-3-7(8)12)10(15)11-5-9(13)14/h2-4,12H,5H2,1H3,(H,11,15)(H,13,14)","FOBI:030675"
"n-acetyl-s-allylcysteine","N-acyl-alpha amino acids and derivatives","134378",NA,NA,"152467","LKRAEHUDIUJBSF-ZETCQYMHSA-N","InChI=1S/C8H13NO3S/c1-3-4-13-5-7(8(11)12)9-6(2)10/h3,7H,1,4-5H2,2H3,(H,9,10)(H,11,12)/t7-/m0/s1","FOBI:030677"
"n-acetyl-s-methylcysteine","N-acyl-alpha amino acids and derivatives",NA,NA,NA,"13893975","RYGLCORNOFFGTB-YFKPBYRVSA-N","InChI=1S/C6H11NO3S/c1-4(8)7-5(3-11-2)6(9)10/h5H,3H2,1-2H3,(H,7,8)(H,9,10)/t5-/m0/s1","FOBI:030679"
"s-allylmercapturic acid","N-acyl-alpha amino acids and derivatives","8640899",NA,NA,"10465488","LKRAEHUDIUJBSF-SSDOTTSWSA-N","InChI=1S/C8H13NO3S/c1-3-4-13-5-7(8(11)12)9-6(2)10/h3,7H,1,4-5H2,2H3,(H,9,10)(H,11,12)/t7-/m1/s1","FOBI:030680"
"allyl methyl sulfide","Allyl sulfur compounds",NA,NA,NA,"66282","NVLPQIPTCCLBEU-UHFFFAOYSA-N","InChI=1S/C4H8S/c1-3-4-5-2/h3H,1,4H2,2H3","FOBI:030681"
"allyl methyl sulfoxide","Sulfoxides","9063108",NA,NA,"10887844","JWWFEYMQBBFIRT-UHFFFAOYSA-N","InChI=1S/C4H8OS/c1-3-4-6(2)5/h3H,1,4H2,2H3","FOBI:030682"
"allyl methyl sulfone","Sulfones",NA,NA,NA,NA,"WOPDMJYIAAXDMN-UHFFFAOYSA-N","InChI=1S/C4H8O2S/c1-3-4-7(2,5)6/h3H,1,4H2,2H3","FOBI:030683"
"p-cresol glucuronide","Phenolic glycosides","135751","HMDB11686",NA,"154035","JPAUCQAJHLSMQW-XPORZQOISA-N","InChI=1S/C13H16O7/c1-6-2-4-7(5-3-6)19-13-10(16)8(14)9(15)11(20-13)12(17)18/h2-5,8-11,13-16H,1H3,(H,17,18)/t8-,9-,10+,11-,13+/m0/s1","FOBI:030700"
"indoxyl glucuronide","Glucuronides","2015556","HMDB10319",NA,"2733785","KUYNOZVWCFXSNE-BYNIDDHOSA-N","InChI=1S/C14H15NO7/c16-9-10(17)12(13(19)20)22-14(11(9)18)21-8-5-15-7-4-2-1-3-6(7)8/h1-5,9-12,14-18H,(H,19,20)/t9-,10-,11+,12-,14+/m0/s1","FOBI:030703"
"α-solanine","Steroidal saponins","230519",NA,NA,"262500","ZGVSETXHNHBTRK-UHFFFAOYSA-N","InChI=1S/C45H73NO15/c1-19-6-9-27-20(2)31-28(46(27)16-19)15-26-24-8-7-22-14-23(10-12-44(22,4)25(24)11-13-45(26,31)5)57-43-40(61-41-37(54)35(52)32(49)21(3)56-41)39(34(51)30(18-48)59-43)60-42-38(55)36(53)33(50)29(17-47)58-42/h7,19-21,23-43,47-55H,6,8-18H2,1-5H3","FOBI:030715"
"5-n-heptadecylresorcinol","Resorcinols",NA,NA,NA,"181700","BBGNINPPDHJETF-UHFFFAOYSA-N","InChI=1S/C23H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21-18-22(24)20-23(25)19-21/h18-20,24-25H,2-17H2,1H3","FOBI:030719"
"5-n-nonadecylresorcinol","Resorcinols",NA,NA,NA,"161858","PUNOCEUUYUXUGR-UHFFFAOYSA-N","InChI=1S/C25H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23-20-24(26)22-25(27)21-23/h20-22,26-27H,2-19H2,1H3","FOBI:030720"
"5-n-heneicosylresorcinol","Resorcinols","136952",NA,NA,"155461","BLHLKJLSYHEOGY-UHFFFAOYSA-N","InChI=1S/C27H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-25-22-26(28)24-27(29)23-25/h22-24,28-29H,2-21H2,1H3","FOBI:030721"
"5-n-tricosylresorcinol","Resorcinols","136953",NA,NA,"155462","OHTBGMREZYLZQD-UHFFFAOYSA-N","InChI=1S/C29H52O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-27-24-28(30)26-29(31)25-27/h24-26,30-31H,2-23H2,1H3","FOBI:030722"
"5-n-pentacosylresorcinol","Resorcinols","136954",NA,NA,"155463","GDJMJAKVVSGNLA-UHFFFAOYSA-N","InChI=1S/C31H56O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-29-26-30(32)28-31(33)27-29/h26-28,32-33H,2-25H2,1H3","FOBI:030723"
"2-benzoxazolinone","Benzoxazolones","10610280 | 13756559",NA,NA,"6043","ASSKVPFEZFQQNQ-UHFFFAOYSA-N","InChI=1S/C7H5NO2/c9-7-8-5-3-1-2-4-6(5)10-7/h1-4H,(H,8,9)","FOBI:030724"
"6-methoxy-benzoxazolin-2-one","Benzoxazolones",NA,NA,NA,"10772","MKMCJLMBVKHUMS-UHFFFAOYSA-N","InChI=1S/C8H7NO3/c1-11-5-2-3-6-7(4-5)12-8(10)9-6/h2-4H,1H3,(H,9,10)","FOBI:030725"
"2-β-d-glucopyranosyloxy-1,4-benzoxazin-3-one","O-glycosyl compounds",NA,NA,NA,"14605137","PYQSUTLVBSTCSK-BJPDSMLBSA-N","InChI=1S/C14H17NO8/c16-5-8-9(17)10(18)11(19)13(22-8)23-14-12(20)15-6-3-1-2-4-7(6)21-14/h1-4,8-11,13-14,16-19H,5H2,(H,15,20)/t8-,9-,10+,11-,13+,14?/m1/s1","FOBI:030727"
"2-hydroxy-1,4-benzoxazin-3-one glucuronide","Benzoxazinones",NA,NA,NA,NA,"PXAGSWBDUVOULJ-CPFHXUIISA-N","InChI=1S/C14H15NO9/c16-7-8(17)10(12(20)21)23-13(9(7)18)24-14-11(19)15-5-3-1-2-4-6(5)22-14/h1-4,7-10,13-14,16-18H,(H,15,19)(H,20,21)/t7-,8?,9?,10-,13-,14?/m1/s1","FOBI:030728"
"2-hydroxy-1,4-benzoxazin-3-one sulfate","Benzoxazinones",NA,NA,NA,NA,"XQOGGBJDHDDLTI-UHFFFAOYSA-N","InChI=1S/C8H7NO6S/c10-7-8(15-16(11,12)13)14-6-4-2-1-3-5(6)9-7/h1-4,8H,(H,9,10)(H,11,12,13)","FOBI:030729"
"2-hydroxy-7-methoxy-1,4-benzoxazin-3-one","Benzoxazinones","134162",NA,NA,"152213","NDEPTLCFICMYLH-UHFFFAOYSA-N","InChI=1S/C9H9NO4/c1-13-5-2-3-6-7(4-5)14-9(12)8(11)10-6/h2-4,9,12H,1H3,(H,10,11)","FOBI:030730"
"2-β-d-glucopyranosyloxy-7-methoxy-1,4-benzoxazin-3-one","O-glycosyl compounds",NA,NA,NA,"161229","PMBZSEOAOIYRMW-XGHDNVSXSA-N","InChI=1S/C15H19NO9/c1-22-6-2-3-7-8(4-6)23-15(13(21)16-7)25-14-12(20)11(19)10(18)9(5-17)24-14/h2-4,9-12,14-15,17-20H,5H2,1H3,(H,16,21)/t9-,10-,11+,12-,14+,15?/m1/s1","FOBI:030731"
"2,4-dihydroxy-1,4-benzoxazin-3-one glucuronide","Benzoxazinones",NA,NA,NA,NA,"CKVNYXWAZIGXDC-CPFHXUIISA-N","InChI=1S/C14H15NO10/c16-7-8(17)10(12(20)21)24-13(9(7)18)25-14-11(19)15(22)5-3-1-2-4-6(5)23-14/h1-4,7-10,13-14,16-18,22H,(H,20,21)/t7-,8?,9?,10-,13-,14?/m1/s1","FOBI:030734"
"2,4-dihydroxy-1,4-benzoxazin-3-one sulfate","Benzoxazinones",NA,NA,NA,NA,"GNPNIYVSUDXFAF-UHFFFAOYSA-N","InChI=1S/C8H7NO7S/c10-7-8(16-17(12,13)14)15-6-4-2-1-3-5(6)9(7)11/h1-4,8,11H,(H,12,13,14)","FOBI:030735"
"pentadecanoic acid","Long-chain fatty acids",NA,"HMDB00826","C16537","13849","WQEPLUUGTLDZJY-UHFFFAOYSA-N","InChI=1S/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)","FOBI:030738"
"ascorbic acid","Furanones","559144","HMDB00044",NA,NA,"TYQCGQRIZGCHNB-MVHIGOERSA-N","InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-8,10-11H,1H2/t2-,5+/m1/s1","FOBI:030745"
"lutein","Xanthophylls","4938343","HMDB03233",NA,"6433159","KBPHJBAIARWVSC-RTIVXWJOSA-N","InChI=1S/C40H56O2/c1-29(17-13-19-31(3)21-23-37-33(5)25-35(41)27-39(37,7)8)15-11-12-16-30(2)18-14-20-32(4)22-24-38-34(6)26-36(42)28-40(38,9)10/h11-25,35-37,41-42H,26-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+/t35?,36-,37+/m1/s1","FOBI:030749"
